frame,time_s,arrow_right_pct,arrow_left_pct,bullseye_pct
658,10.9667,,,17.81
659,10.9833,,,15.81
660,11.0,,,13.85
661,11.0167,,,12.37
662,11.0333,,,11.12
663,11.05,,,10.03
664,11.0667,,,9.17
665,11.0833,,,8.54
666,11.1,,,8.05
667,11.1167,,,8.05
668,11.1333,,,8.05
669,11.15,,,8.05
670,11.1667,,,8.05
671,11.1833,,,8.05
672,11.2,,,8.05
673,11.2167,,,8.1
674,11.2333,,,8.2
675,11.25,,,8.36
676,11.2667,,,8.65
677,11.2833,,,9.09
678,11.3,,,9.71
679,11.3167,,,10.49
680,11.3333,,,11.54
681,11.35,,,12.84
682,11.3667,,,14.3
683,11.3833,,,16.07
684,11.4,,,18.15
685,11.4167,,,20.52
686,11.4333,,,23.2
687,11.45,,,26.33
688,11.4667,,,29.38
689,11.4833,,,32.81
690,11.5,,,36.67
691,11.5167,,,40.7
692,11.5333,,,45.1
693,11.55,,,49.61
694,11.5667,,,54.37
695,11.5833,,,59.43
696,11.6,,,64.56
697,11.6167,,,69.87
698,11.6333,,,75.29
699,11.65,,,80.83
700,11.6667,,,86.67
701,11.6833,,,91.95
702,11.7,,,86.88
703,11.7167,,,81.33
704,11.7333,,,75.73
705,11.75,,,70.16
706,11.7667,,,64.97
707,11.7833,,,59.69
708,11.8,,,54.77
709,11.8167,,,49.71
710,11.8333,,,45.29
711,11.85,,,40.52
712,11.8667,,,36.8
713,11.8833,,,32.63
714,11.9,,,29.17
715,11.9167,,,25.96
716,11.9333,,,23.05
717,11.95,,,20.34
718,11.9667,,,17.84
719,11.9833,,,15.83
720,12.0,,,13.96
721,12.0167,,,12.42
722,12.0333,,,11.07
723,12.05,,,10.0
724,12.0667,,,9.17
725,12.0833,,,8.54
726,12.1,,,8.05
727,12.1167,,,8.05
728,12.1333,,,8.05
729,12.15,,,8.05
730,12.1667,,,8.05
731,12.1833,,,8.05
732,12.2,,,8.05
733,12.2167,,,8.1
734,12.2333,,,8.2
735,12.25,,,8.36
736,12.2667,,,8.65
737,12.2833,,,9.09
738,12.3,,,9.69
739,12.3167,,,10.52
740,12.3333,,,11.54
741,12.35,,,12.86
742,12.3667,,,14.3
743,12.3833,,,16.07
744,12.4,,,18.31
745,12.4167,,,20.49
746,12.4333,,,23.2
747,12.45,,,26.12
748,12.4667,,,29.35
749,12.4833,,,32.81
750,12.5,,,36.64
751,12.5167,,,40.7
752,12.5333,,,40.7
753,12.55,,,49.58
754,12.5667,,,54.74
755,12.5833,,,59.45
756,12.6,,,64.48
757,12.6167,,,70.1
758,12.6333,,,70.1
759,12.65,,,80.91
760,12.6667,,,87.01
761,12.6833,,,91.95
762,12.7,,,86.85
763,12.7167,,,81.22
764,12.7333,,,75.76
765,12.75,,,70.18
766,12.7667,,,64.9
767,12.7833,,,59.77
768,12.8,,,54.69
769,12.8167,,,49.9
770,12.8333,,,45.31
771,12.85,,,40.83
772,12.8667,,,36.77
773,12.8833,,,32.89
774,12.9,,,29.09
775,12.9167,,,26.04
776,12.9333,,,22.94
777,12.95,,,20.34
778,12.9667,,,17.79
779,12.9833,,,15.83
780,13.0,,,13.96
781,13.0167,,,12.42
782,13.0333,,,11.07
783,13.05,,,10.03
784,13.0667,,,9.17
785,13.0833,,,9.17
786,13.1,,,8.05
787,13.1167,,,8.05
788,13.1333,,,8.05
789,13.15,,,8.05
790,13.1667,,,8.05
791,13.1833,,,8.05
792,13.2,,,8.05
793,13.2167,,,8.1
794,13.2333,,,8.2
795,13.25,,,8.36
796,13.2667,,,8.65
797,13.2833,,,9.11
798,13.3,,,9.69
799,13.3167,,,10.52
800,13.3333,,,11.54
801,13.35,,,12.92
802,13.3667,,,14.27
803,13.3833,,,16.12
804,13.4,,,18.15
805,13.4167,,,20.49
806,13.4333,,,23.2
807,13.45,,,26.15
808,13.4667,,,29.35
809,13.4833,,,32.81
810,13.5,,,36.77
811,13.5167,,,40.7
812,13.5333,,,40.7
813,13.55,,,49.58
814,13.5667,,,54.84
815,13.5833,,,59.35
816,13.6,,,64.56
817,13.6167,,,70.0
818,13.6333,,,75.29
819,13.65,,,81.02
820,13.6667,,,86.43
821,13.6833,,,91.95
822,13.7,,,86.9
823,13.7167,,,81.25
824,13.7333,,,75.73
825,13.75,,,70.23
826,13.7667,,,65.0
827,13.7833,,,59.66
828,13.8,,,54.66
829,13.8167,,,49.87
830,13.8333,,,45.31
831,13.85,,,40.76
832,13.8667,,,36.77
833,13.8833,,,32.92
834,13.9,,,29.24
835,13.9167,,,26.04
836,13.9333,,,23.1
837,13.95,,,20.31
838,13.9667,,,17.92
839,13.9833,,,15.81
840,14.0,,,13.93
841,14.0167,,,12.42
842,14.0333,,,11.04
843,14.05,,,10.03
844,14.0667,,,9.17
845,14.0833,,,8.54
846,14.1,,,8.05
847,14.1167,,,8.05
848,14.1333,,,8.05
849,14.15,,,8.05
850,14.1667,,,8.05
851,14.1833,,,8.05
852,14.2,,,8.05
853,14.2167,,,8.1
854,14.2333,,,8.2
855,14.25,,,8.36
856,14.2667,,,8.36
857,14.2833,,,9.09
858,14.3,,,9.77
859,14.3167,,,10.52
860,14.3333,,,11.56
861,14.35,,,12.79
862,14.3667,,,14.3
863,14.3833,,,16.09
864,14.4,,,18.23
865,14.4167,,,20.49
866,14.4333,,,23.2
867,14.45,,,26.12
868,14.4667,,,29.38
869,14.4833,,,32.81
870,14.5,,,36.56
871,14.5167,,,40.7
872,14.5333,,,45.08
873,14.55,,,49.66
874,14.5667,,,54.37
875,14.5833,,,59.35
876,14.6,,,64.56
877,14.6167,,,69.82
878,14.6333,,,75.29
879,14.65,,,81.22
880,14.6667,,,86.43
881,14.6833,,,91.95
882,14.7,,,86.59
883,14.7167,,,81.33
884,14.7333,,,75.34
885,14.75,,,70.31
886,14.7667,,,64.9
887,14.7833,,,59.69
888,14.8,,,54.74
889,14.8167,,,49.87
890,14.8333,,,45.31
891,14.85,,,40.73
892,14.8667,,,36.64
893,14.8833,,,32.92
894,14.9,,,29.35
895,14.9167,,,26.04
896,14.9333,,,23.02
897,14.95,,,20.31
898,14.9667,,,17.92
899,14.9833,,,15.81
900,15.0,,,13.91
901,15.0167,,,12.4
902,15.0333,,,11.07
903,15.05,,,10.03
904,15.0667,,,9.17
905,15.0833,,,8.54
906,15.1,,,8.05
907,15.1167,,,8.05
908,15.1333,,,8.05
909,15.15,,,8.05
910,15.1667,,,8.05
911,15.1833,,,8.05
912,15.2,,,8.05
913,15.2167,,,8.1
914,15.2333,,,8.2
915,15.25,,,8.36
916,15.2667,,,8.65
917,15.2833,,,9.06
918,15.3,,,9.69
919,15.3167,,,10.57
920,15.3333,,,11.54
921,15.35,,,12.79
922,15.3667,,,14.3
923,15.3833,,,16.17
924,15.4,,,18.28
925,15.4167,,,20.49
926,15.4333,,,23.2
927,15.45,,,26.25
928,15.4667,,,29.45
929,15.4833,,,32.81
930,15.5,,,36.64
931,15.5167,,,40.73
932,15.5333,,,45.03
933,15.55,,,49.61
934,15.5667,,,54.45
935,15.5833,,,59.35
936,15.6,,,64.51
937,15.6167,,,69.84
938,15.6333,,,75.29
939,15.65,,,80.81
940,15.6667,,,86.67
941,15.6833,,,91.95
942,15.7,,,86.56
943,15.7167,,,81.33
944,15.7333,,,75.6
945,15.75,,,70.23
946,15.7667,,,64.95
947,15.7833,,,59.79
948,15.8,,,54.71
949,15.8167,,,49.9
950,15.8333,,,45.31
951,15.85,,,40.65
952,15.8667,,,36.82
953,15.8833,,,32.63
954,15.9,,,29.14
955,15.9167,,,25.7
956,15.9333,,,23.05
957,15.95,,,20.23
958,15.9667,,,17.92
959,15.9833,,,15.81
960,16.0,,,13.96
961,16.0167,,,12.4
962,16.0333,,,11.12
963,16.05,,,10.03
964,16.0667,,,9.14
965,16.0833,,,8.54
966,16.1,,,8.05
967,16.1167,,,8.05
968,16.1333,,,8.05
969,16.15,,,8.05
970,16.1667,,,8.05
971,16.1833,,,8.05
972,16.2,,,8.05
973,16.2167,,,8.1
974,16.2333,,,8.2
975,16.25,,,8.33
976,16.2667,,,8.65
977,16.2833,,,9.09
978,16.3,,,9.69
979,16.3167,,,10.55
980,16.3333,,,11.54
981,16.35,,,12.79
982,16.3667,,,14.3
983,16.3833,,,16.12
984,16.4,,,18.12
